toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,target
1000.01,50365310,PC,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,0.085,-0.085,0,-0.076,0.072,-0.072,0,2459229.630046,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.77821,-37.77821,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,NaN,NaN,NaN,3127.2040524,NaN,NaN,NaN,9.604,0.013,-0.013,0,485.735,11.9515,-11.9515,0,10249,264.7,-264.7,0,4.19,0.07,-0.07,0,2.16986,0.0725729,-0.0725729,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1001.01,88863718,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,0.102,-0.102,0,-15.555,0.072,-0.072,0,2459987.948873,0.001916,-0.001916,0,1.9316462,5.3e-06,-5.3e-06,0,3.166,0.647,-0.647,0,1286,1186.49,-1186.49,0,11.2154,2.6242,-2.6242,0,44464.5,NaN,NaN,NaN,4045,NaN,NaN,NaN,9.42344,0.006,-0.006,0,295.862,5.91,-5.91,0,7070,126.4,-126.4,0,4.03,0.09,-0.09,0,2.01,0.09,-0.09,0,24-Jul-2019 15:58:33,04-Apr-2023 14:00:02,0
1002.01,124709665,PC,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,0.206,-0.206,0,-2.249,0.206,-0.206,0,2459224.687802,0.000625,-0.000625,0,1.8675574,3e-06,-3e-06,0,1.408,0.184,-0.184,0,1500,1.7584,-1.7584,0,23.7529,NaN,NaN,0,2860.61,NaN,NaN,NaN,2037,NaN,NaN,NaN,9.299501,0.058,-0.058,0,943.109,106.333,-106.333,0,8924,124,-124,0,NaN,NaN,NaN,0,5.73,NaN,NaN,0,24-Jul-2019 15:58:33,11-Jul-2022 14:00:01,0
1003.01,106997505,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,0.041,-0.041,0,1.64,0.055,-0.055,0,2458493.3957,0.00535,-0.00535,0,2.74323,0.00108,-0.00108,0,3.167,0.642,-0.642,0,383.41,0.781988,-0.781988,0,NaN,NaN,NaN,0,1177.36,NaN,NaN,NaN,1631,NaN,NaN,NaN,9.3003,0.037,-0.037,0,7728.17,1899.57,-1899.57,0,5388.5,567,-567,0,4.15,1.64,-1.64,0,NaN,NaN,NaN,0,24-Jul-2019 15:58:33,23-Feb-2022 14:00:01,0
1004.01,238597883,PC,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,0.069,-0.069,0,9.347,0.062,-0.062,0,2459987.047262,0.003748,-0.003748,0,3.5730141,1.28e-05,-1.28e-05,0,3.37,1.029,-1.029,0,755,1306.55,-1306.55,0,11.3113,3.24714,-3.24714,0,54679.3,NaN,NaN,NaN,4260,NaN,NaN,NaN,9.1355,0.006,-0.006,0,356.437,4.6175,-4.6175,0,9219,171.1,-171.1,0,4.14,0.07,-0.07,0,2.15,0.06,-0.06,0,24-Jul-2019 15:58:33,08-Mar-2023 14:00:02,0
1005.01,169904935,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,1.935,-1.935,0,-2.901,2.06,-2.06,0,2458492.5552,0.00106,-0.00106,0,4.55072,0.00033,-0.00033,0,2.599,0.284,-0.284,0,3620,2.1771,-2.1771,0,6.54449,0.45717,-0.45717,0,254.05,NaN,NaN,NaN,1112,NaN,NaN,NaN,9.1309,0.006,-0.006,0,100.711,14.121,-14.121,0,5613,179.9,-179.9,0,NaN,NaN,NaN,0,1.09,0.07,-0.07,0,24-Jul-2019 15:58:33,23-Feb-2022 14:00:01,0
1006.01,156115721,PC,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,2.6,-2.6,0,-6.8,2.2,-2.2,0,2459229.984579,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.38088,-81.38088,0,8.6950898,8.438766,-8.438766,0,1750.932635,NaN,NaN,NaN,1649.8220699,NaN,NaN,NaN,9.2386,0.006,-0.006,0,NaN,NaN,NaN,0,6616,200,-200,0,NaN,NaN,NaN,0,1.53429,1.4887,-1.4887,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1007.01,65212867,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,0.058,-0.058,0,3.399,0.045,-0.045,0,2459247.930695,0.0013,-0.0013,0,6.9989206,1.37e-05,-1.37e-05,0,3.953,0.437,-0.437,0,2840,0.943618,-0.943618,0,14.7752,0.764705,-0.764705,0,448.744,NaN,NaN,NaN,1282,NaN,NaN,NaN,8.87759,0.006,-0.006,0,283.291,3.0025,-3.0025,0,6596,139.2,-139.2,0,3.71,0.09,-0.09,0,2.7,0.13,-0.13,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1008.01,440801822,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.1,-1.1,0,1.3,1,-1,0,2458492.52135,0.00579,-0.00579,0,2.04936,0.00105,-0.00105,0,2.234,0.401,-0.401,0,249.5,0.564034,-0.564034,0,1.71607,0.318238,-0.318238,0,2107.05,NaN,NaN,NaN,1887,NaN,NaN,NaN,8.9362,0.012,-0.012,0,144.297,NaN,NaN,0,6858.5,584.6,-584.6,0,4.2,1.9,-1.9,0,0.99,0.18,-0.18,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1009.01,107782586,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,0.319,-0.319,0,4.849,0.358,-0.358,0,2459252.751357,0.001632,-0.001632,0,1.9600296,5e-06,-5e-06,0,1.842,0.158,-0.158,0,2100,922.582,-922.582,0,NaN,NaN,NaN,0,26538.5,NaN,NaN,NaN,3555,NaN,NaN,NaN,8.4331,0.028,-0.028,0,866.147,172.097,-172.097,0,8868.7,809.8,-809.8,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
101.01,231663901,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,0.044,-0.044,0,-16.011,0.041,-0.041,0,2459036.904104,0.000393,-0.000393,0,1.4303691,9e-07,-9e-07,0,1.6438728,0.0187562,-0.0187562,0,19151.2162143,197.45049,-197.45049,0,13.2504933,0.6606899,-0.6606899,0,1281.241792,NaN,NaN,NaN,1525.9050967,NaN,NaN,NaN,12.4069,0.006,-0.006,0,375.31,4.411,-4.411,0,5600,NaN,NaN,0,4.48851,NaN,NaN,0,0.890774,0.0438467,-0.0438467,0,05-Sep-2018 18:49:20,29-Oct-2021 13:06:46,0
1010.01,139853601,PC,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,0.176,-0.176,0,4.502,0.261,-0.261,0,2459228.878101,0.000791,-0.000791,0,0.6808702,3.9e-05,-3.9e-05,0,2.4634563,0.0557065,-0.0557065,0,1507.8006889,39.971123,-39.971123,0,5.9115908,1.5360428,-1.5360428,0,87140.6995884,NaN,NaN,NaN,4382.0266062,NaN,NaN,NaN,8.45086,0.006,-0.006,0,485.122,36.246,-36.246,0,9438,782,-782,0,NaN,NaN,NaN,0,1,NaN,NaN,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1011.01,114018671,PC,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,0.046,-0.046,0,-134.901,0.052,-0.052,0,2459984.627768,0.002619,-0.002619,0,2.4704981,7.3e-06,-7.3e-06,0,2.191,0.482,-0.482,0,250,18.1279,-18.1279,0,1.44656,0.107503,-0.107503,0,575.597,NaN,NaN,NaN,1364,NaN,NaN,NaN,8.2388,0.006,-0.006,0,52.62,0.0793,-0.0793,0,5413.7,132.8,-132.8,0,4.46,0.09,-0.09,0,0.94,0.05,-0.05,0,24-Jul-2019 15:58:33,22-Mar-2023 14:00:01,0
1012.01,427508467,PC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,0.202,-0.202,0,-0.029,0.106,-0.106,0,2459252.509595,0.000369,-0.000369,0,0.884182,7e-07,-7e-07,0,1.621,0.035,-0.035,0,1890,311.366,-311.366,0,24.8132,5.41599,-5.41599,0,112144,NaN,NaN,NaN,5098,NaN,NaN,NaN,8.12718,0.006,-0.006,0,295.959,11.315,-11.315,0,8928,128.7,-128.7,0,3.92,0.08,-0.08,0,2.72,0.13,-0.13,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
1013.01,97700520,PC,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,0.063,-0.063,0,7.061,0.071,-0.071,0,2459232.248322,0.000512,-0.000512,0,5.4255548,0.0002073,-0.0002073,0,3.9637474,0.0211401,-0.0211401,0,14939.6342222,238.97354,-238.97354,0,NaN,NaN,NaN,0,273.5880696,NaN,NaN,NaN,1037.2753045,NaN,NaN,NaN,7.6095,0.006,-0.006,0,510.295,9.32,-9.32,0,8868.7,809.8,-809.8,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,24-Jul-2019 15:58:33,29-Oct-2021 13:06:46,0
